item,feedfieldname,title,description,datatypecode,filecode,tablecode,heirarchycode,units,polarity,includedinscores,pillaritem,catitem,reglicflag,valuescoreexists,asrepexists,sourceexists
28,CriticalCountry1,Critical Country 1,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,TRESG,6,12,2,Y,Y,Y
29,CriticalCountry2,Critical Country 2,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,,6,12,,N,Y,Y
30,CriticalCountry3,Critical Country 3,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,,6,12,,N,Y,Y
31,CriticalCountry4,Critical Country 4,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,,6,12,,N,Y,Y
32,CriticalCountry5,Critical Country 5,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,,6,12,,N,Y,Y
33,DiseasesOfTheDevelopingWorld,Diseases of the Developing World,"Does the company claim to conduct research and development on drugs for diseases in the developing world? - mainly related to pharmaceutical sector companies - conducting research program for diseases (such as HIV/AIDS, Malaria, Tuberculosis and Cancer) that affect the developing countries",1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
34,DonationsTotal,Donations Total,"Total amount of all donations by the company. - total donations = cash donation + in-kind donation (cost of products donated, employees volunteer time cost) - includes donations by the company as well as by its foundations or trusts such as product donation, charity, philanthropy, sponsorship, grant and matching contribution - employee, customer, supplier or political donations are not considered",5,1,3,1,Currency = Local Reporting Currency,Positive,,6,12,,N,Y,Y
35,EmployeeEngagementVoluntaryWork,Employee Engagement Voluntary Work,Does the company foster employee engagement in voluntary work? - encourage employees to involve in volunteer service during working hours - information on volunteerism associated with a company's project or an NGO project,1,1,3,1,Y/N,Positive,,6,12,,N,N,Y
36,ExtractiveIndustriesTransparencyInitiative,Extractive Industries Transparency Initiative,"Is the company a supporter of the ""Extractive Industries Transparency Initiative (EITI)""?",1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
37,ImprovementToolsBusinessEthics,Improvement Tools Business Ethics,"Does the company have appropriate communication tools (whistle blower, ombudsman, suggestion box, hotline, newsletter, website, etc.) to improve general business ethics? - consider internal improvement and communication tools with respect to general business ethics - information from the code of conduct include 3 elements; (1) policy on business ethics, (2) reporting line for violation of code and (3) the action was taken for improvement on such violation - we consider information from the code of conduct section",1,1,3,1,Y/N,Positive,TRESG,6,12,2,Y,N,Y
38,IntellectualPropertyControversies,Intellectual Property Controversies,Number of controversies published in the media linked to patents and intellectual property infringements. - any infringement cases levied on the company - any trademark laws broken are considered - lawsuits claiming for a patent infringements - lawsuits against a company for a design copy-over,4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
39,LobbyingContributionAmount,Lobbying Contribution Amount,The total amount of lobbying contributions made by the company or its employees and representatives during the fiscal year.,5,1,3,1,Currency = Local Reporting Currency,Negative,,6,12,,N,Y,Y
40,OecdGuidelinesForMultinationEnterprises,OECD Guidelines for Multinational Enterprises,Does the company claim to follow the OECD Guidelines for Multinational Enterprises? - general information on OECD is not considered such as OECD guidelines for chemical testing,1,1,3,1,Y/N,Positive,TRESG,6,12,2,Y,N,Y
41,PolicyBriberyAndCorruption,Policy Bribery and Corruption,"Does the company describe in the code of conduct that it strives to avoid bribery and corruption at all its operations? - policy in the code of conduct against the bribery and corruption in its operations - consider information from the code of conduct section in any report  - legal compliance data is not considered - includes inappropriate/ improper payment, special favors, extortion or kickback",1,1,3,1,Y/N,Positive,TRESG,6,12,3,Y,N,Y
42,PolicyBusinessEthics,Policy Business Ethics,Does the company describe in the code of conduct that it strives to maintain the highest level of general business ethics?  - information on respecting general business ethics or integrity - information from the code of conduct section,1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
43,PolicyCommunityInvolvement,Policy Community Involvement,"Does the company have a policy to improve its good corporate citizenship? - involvement in the community through donations, volunteering, philanthropic activities, and community investments - includes involvement in corporate social responsibility programs in education, health, and the environment",1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
44,PolicyFairCompetition,Policy Fair Competition,"Does the company describe in the code of conduct that it strives to be a fair competitor? - includes respecting other company's patents, copyrights or intellectual properties or avoiding anti-competitive behavior, price fixing or other monopolistic tactics - information from the code of conduct section in any report",1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
45,PoliticalContributions,Political Contributions,"Total amount of political donations, support of political candidates or contributions to parties as reported by the company. - the amount spent for political lobbying, support of political candidates and contributions to parties  - includes cash donations, loans, sponsorships, purchase of tickets for fundraising events, advertising, use of facilities, design and printing, donation of equipment, retainers or jobs for elected politicians or candidates for office, etc. - donation by Political Action Committee (PAC)",5,1,3,1,Currency = Local Reporting Currency,Negative,,6,12,,N,Y,Y
46,ProductSalesAtDiscountToEmergingMarkets,Product Sales at Discount to Emerging Markets,Is the company selling some products or services at a discount to normal retail prices in emerging markets? - products or providing services at low-price or at a discount to emerging countries - includes flexible pricing and payment plans for middle-income countries,1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
47,PublicHealthControversies,Public Health Controversies,Number of controversies published in the media linked to public health or industrial accidents harming the health & safety of third parties (non-employees and non-customers). - accidents injuring the general public occurred from the company's operations,4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
48,RecentAntiCompetitionControversies,Recent Anti-Competition Controversy,"Number of controversies linked to anti-competitive behavior (e.g., anti-trust and monopoly), price-fixing or kickbacks published since the last fiscal year company update.",4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
49,RecentBusinessEthicsControversies,Recent Business Ethics Controversies,"Number of controversies linked to business ethics in general, political contributions or bribery and corruption published since the last fiscal year company update. - consider class actions filed against a company for not following the general ethics - investigations made against a company regarding a suit are considered - any other allegations made against the company",4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
50,RecentCriticalCountriesControversies,Recent Critical Countries Controversies,"Number of controversies linked to activities in critical, undemocratic countries that do not respect fundamental human rights principles published since the last fiscal year company update. - consider lawsuit against companies that have its operations in Iran, Syria, Sudan, Burma & Cuba",4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
51,RecentIntellectualPropertyControversies,Recent Intellectual Property Controversies,Number of controversies linked to patents and intellectual property infringements published since the last fiscal year company update. - consider any infringement cases levied on the company - any trademark laws broken are considered - lawsuits claiming for a patent infringements - lawsuits against a company for a design copy-over,4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
52,RecentPublicHealthControversies,Recent Public Health Controversies,Number of controversies linked to public health or industrial accidents harming the health & safety of third parties (non-employees and non-customers) published since the last fiscal year company update. - accidents injuring the general public occurred from the company's operations,4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
