item,feedfieldname,title,description,datatypecode,filecode,tablecode,heirarchycode,units,polarity,includedinscores,pillaritem,catitem,reglicflag,valuescoreexists,asrepexists,sourceexists
120,PolicyNuclearSafety,Policy Nuclear Safety,Does the company have policy in place for nuclear safety and emergency preparedness to minimize the impact of nuclear disasters in and around nuclear plants? -related to electric utility sector -nuclear safety methods can be for internal and external safety -general business continuity and employee training is not considered,1,2,1,1,Y/N,Positive,,4,8,,N,N,Y
121,SelfReportedEnvironmentalFines,Self-Reported Environmental Fines,Environmental fines as reported by the company. - the amount of fines paid in relation to the violation of environmental regulations during the fiscal year,5,2,1,1,Currency = Local Reporting Currency,Negative,,4,8,,N,Y,Y
122,SOxEmissions,SOx Emissions,"Total amount of SOx emissions emitted in tonnes. - following gases are relevant: SO2 (sulfur dioxide), SOx (sulfur oxide), SO (sulfur monoxide), SO3 (sulfur trioxide) - we follow green house gas (GHG) protocol for all our emission classifications by type",3,2,1,1,Tonnes,Negative,,4,8,2,N,Y,Y
123,StaffTransportationImpactReduction,Staff Transportation Impact Reduction,"Does the company report on initiatives to reduce the environmental impact of transportation used for its staff? - when the company encourages its staff to use alternate options like carpooling, telephone, video and web conferencing,  encouraging employees to use public transport, cycle-to-work scheme, purchase of environmentally friendlier vehicles or eco-friendly cars for staff and thereby reducing the environmental impact",1,2,1,1,Y/N,Positive,TRESG,4,8,,Y,N,Y
124,TargetsEmissions,Targets Emissions,"Has the company set targets or objectives to be achieved on emission reduction? - in scope are the short-term or long-term reduction target to be achieved on emissions to land, air or water from business operations",1,2,1,1,Y/N,Positive,TRESG,4,8,,Y,N,Y
125,VocEmissions,VOC Emissions,"Total amount of volatile organic compounds (VOC) emissions in tonnes. - VOC (volatile organic compounds) emissions includes hydrocarbon emissions (THC), or unburned hydrocarbons (UHC) excluding methane and ethane - we follow green house gas (GHG) protocol for all our emission classifications by type",3,2,1,1,Tonnes,Negative,,4,8,2,N,Y,Y
126,VocEmissionsReduction,VOC Emissions Reduction,"Does the company report on initiatives to reduce, substitute, or phase out volatile organic compounds (VOC)? - processes, mechanisms or programs in place as to what the company is doing to reduce or phase out volatile organic compounds in its operations - any new project undertaken to reduce voc emissions - general legal compliance is not qualified data - inline with the legal compliance or government imposed processes to reduce VOC which are well described are qualified",1,2,1,1,Y/N,Positive,,4,8,,N,N,Y
127,WasteRecycledTotal,Waste Recycled Total,"Total recycled and reused waste produced in tonnes. - waste used through incineration to generate energy, waste used for composting is also considered as waste recycled - wastes recycled include both hazardous and non-hazardous waste",3,2,1,1,Tonnes,Positive,,4,8,2,N,Y,Y
128,WasteRecyclingRatio,Waste Recycling Ratio,The waste recycling ratio as reported by the company. - waste recycling ratio = waste recycled/total waste*100 - waste to energy or waste incinerated with energy recovery are considered as waste recycled - waste recovered by the way of composting is considered as recycled waste,3,2,1,1,Percentage,Positive,,4,8,,N,Y,Y
129,WasteReductionInitiatives,Waste Reduction Initiatives,"Does the company report on initiatives to recycle, reduce, reuse, substitute, treat or phase out total waste? - initiatives to reduce any type of waste generated by reporting organisation - partnership with waste management companies to treat waste generated  - does not include the data on waste management companies, which collect & recycle the waste for their customers",1,2,1,1,Y/N,Positive,,4,8,2,N,N,Y
130,WasteTotal,Waste Total,"Total amount of waste produced in tonnes. - total waste = non-hazardous waste + hazardous waste - only solid waste is taken into consideration, exceptionally if liquid waste reported in ton then we do the summation to derive total including liquid waste - for sector like mining, oil & gas, waste generation like tailings, waste rock, coal and fly ash, etc. are also considered",3,2,1,1,Tonnes,Negative,,4,8,2,N,Y,Y
131,WaterDischarged,Water Discharged,Total volume of water discharged in cubic meters. - water discharged for which there is no further use by the company is considered waste water - treated waste water and discharged information is also in scope,3,2,1,1,Cubic Meter,Negative,,4,8,,N,Y,Y
132,WaterPollutantEmissions,Water Pollutant Emissions,"Total weight of water pollutant emissions in tonnes. - substances discharged into water system like PRTR (pollutant release and transfer registers) substances, BOD(biochemical oxygen demand), COD (chemical oxygen demand) or TSS (total suspended solids)",3,2,1,1,Tonnes,Negative,,4,8,2,N,Y,Y
133,AccidentalSpillsToRevenues,Accidental Spills To Revenues USD in million,Direct and accidental oil and other hydrocarbon spills in thousands of barrels (kbls) divided by net sales or revenue US dollars in million.,3,2,2,2,(Thousand Barrels/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
134,EnvironmentalExpendituresInvestments,Environmental Expenditures Investments,Does the company report on its environmental expenditures or does the company report to make proactive environmental investments to reduce future risks or increase future opportunities?,1,2,2,2,Y/N,Positive,TRESG,4,8,1,Y,N,N
135,FlaringGasesToRevenues,Flaring Gases To Revenues USD in million,Total direct flaring or venting of natural gas emissions in tonnes divided by net sales or revenue US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
136,NOxEmissionsToRevenues,NOx Emissions To Revenues USD in million,Total amount of NOx emissions emitted in tonnes divided by net sales or revenue US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
137,OzoneDepletingSubstancesToRevenues,Ozone-Depleting Substances To Revenues USD in million,Total amount of ozone depleting (CFC-11 equivalents) substances emitted in tonnes divided by net sales or revenue US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
138,Scope3ToRevenues,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million",Total CO2 and CO2 Scope Three equivalent emission in tonnes divided by net sales or revenue US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
139,SelfReportedEnvironmentalFinesToRevenues,Self-Reported Environmental Fines To Revenues in million,Environmental fines as reported by the company divided by net sales or revenue in million.,3,2,2,2,(Local Reporting Currency/ Local Revenue) * 1000000,Negative,TRESG,4,8,,Y,N,N
140,SOxEmissionsToRevenues,SOx Emissions To Revenues USD in million,Total amount of SOx emissions emitted in tonnes divided by net sales or revenue US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
141,TotalCO2EquivalentsEmissionsToRevenues,Total CO2 Equivalent Emissions To Revenues USD in million,Total CO2 and CO2 equivalents emission in tonnes divided by net sales or revenue in US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,2,Y,N,N
142,TotalHazardousWasteToRevenues,Total Hazardous Waste To Revenues USD in million,Total amount of hazardous waste produced in tonnes divided by net sales or revenue in US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
143,TotalWasteToRevenues,Total Waste To Revenues USD in million,Total amount of waste produced in tonnes divided by net sales or revenue in US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
144,VocEmissionsToRevenues,VOC Emissions To Revenues USD in million,Total amount of volatile organic compounds (VOC) emissions in tonnes divided by net sales or revenue US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
145,VocOrPmEmissionsReduction,VOC or Particulate Matter Emissions Reduction,"Does the company report on initiatives to reduce, substitute, or phase out volatile organic compounds (VOC) or particulate matter less than ten microns in diameter (PM10)?",1,2,2,2,Y/N,Positive,TRESG,4,8,,Y,N,N
146,WasteRecycledToTotalWaste,Waste Recycled To Total Waste,Total recycled and reused waste produced in tonnes divided by total waste produced in tonnes.,3,2,2,2,Ratio,Positive,TRESG,4,8,,Y,N,N
147,WaterPollutantEmissionsToRevenues,Water Pollutant Emissions To Revenues USD in million,Total weight of water pollutant emissions in tonnes divided by net sales or revenue in US dollars in million.,3,2,2,2,(Tonnes/Revenue$) * 1000000,Negative,TRESG,4,8,,Y,N,N
148,ChildLaborControversies,Child Labor Controversies,Number of controversies published in the media linked to use of child labor issues. - lawsuits claiming where children are labored by the company or their suppliers & contractors,4,1,3,1,Number,Negative,TRESGC,6,11,1,N,Y,Y
149,EthicalTradingInitiativeEti,Ethical Trading Initiative ETI,Is the company a member of the Ethical Trading Initiative (ETI)?,1,1,3,1,Y/N,Positive,TRESG,6,11,1,Y,N,Y
150,FreedomOfAssociationControversies,Freedom of Association Controversies,Number of controversies published in the media linked to freedom of association issues. - consider information of issues raised by employees regarding freedom of association - consider if employees are restricted to join any labor associations/unions,4,1,3,1,Number,Negative,,6,11,1,N,Y,Y
151,FundamentalHumanRightsIloUn,Fundamental Human Rights ILO UN,Does the company claim to comply with the fundamental human rights convention of the ILO or support the UN declaration of human rights? - includes the International Labour Organizations (ILO) Declaration on Fundamental Principles and Rights at Work and the United Nations Universal Declaration of Human Rights - information to be on the UN Declaration of human rights rather than UN Global Compact,1,1,3,1,Y/N,Positive,TRESG,6,11,1,Y,N,Y
152,HumanRightsBreachesContractor,Human Rights Breaches Contractor,Does the company report or show to be ready to end a partnership with a sourcing partner if human rights criteria are not met?,1,1,3,1,Y/N,Positive,TRESG,6,11,1,Y,N,Y
153,HumanRightsContractor,Human Rights Contractor,Does the company report or show to use human rights criteria in the selection or monitoring process of its suppliers or sourcing partners?,1,1,3,1,Y/N,Positive,TRESG,6,11,1,Y,N,Y
154,HumanRightsControversies,Human Rights Controversies,Number of controversies published in the media linked to human rights issues. - controversies of suppliers and contractors relating to human rights breach - human rights abuses/violations are considered,4,1,3,1,Number,Negative,TRESGC,6,11,3,N,Y,Y
155,PolicyChildLabor,Policy Child Labor,"Does the company have a policy to avoid the use of child labor? - actions, programs or initiatives to avoid child labor or the employment of children under legal working age for the company or its suppliers - consider information from industry code such as the Electronic Industry Citizenship Coalition (EICC) code of conduct and Pharmaceutical Industry Principles (PSCI) - legal compliance data is considered",1,1,3,1,Y/N,Positive,TRESG,6,11,3,Y,N,Y
156,PolicyForcedLabor,Policy Forced Labor,"Does the company have a policy to avoid the use of forced labor? - actions, programs or initiatives to avoid forced or compulsory labor for the company or its suppliers - practices to avoid any work for which people are forced to do against their will - consider information from industry code such as the Electronic Industry Citizenship Coalition (EICC) code of conduct and Pharmaceutical Industry Principles (PSCI) - legal compliance data is considered",1,1,3,1,Y/N,Positive,TRESG,6,11,3,Y,N,Y
157,PolicyFreedomOfAssociation,Policy Freedom of Association,"Does the company describe, claim to have or mention the processes in place to ensure the freedom of association of its employees? - information to be on ensuring the freedom of association of employees or the right of workers' to organize and collectively bargain - provision of the secret ballot where a worker can vote free of any intimidation",1,1,3,1,Y/N,Positive,TRESG,6,11,3,Y,N,Y
158,PolicyHumanRights,Policy Human Rights,Does the company have a policy to ensure the respect of human rights in general? - information to be on ensuring the respect of human rights - consider a process on general fundamental human rights,1,1,3,1,Y/N,Positive,TRESG,6,11,1,Y,N,Y
159,RecentChildLaborControversies,Recent Child Labor Controversies,Number of controversies linked to use of child labor issues published since the last fiscal year company update. - lawsuits claiming where children are labored by the company or their suppliers & contractors,4,1,3,1,Number,Negative,TRESGC,6,11,1,N,Y,Y
160,RecentHumanRightsControversies,Recent Human Rights Controversies,Number of controversies linked to human rights issues published since the last fiscal year company update. - controversies of suppliers and contractors relating to human rights breach - human rights abuses/violations are considered,4,1,3,1,Number,Negative,TRESGC,6,11,1,N,Y,Y
161,HumanRightsPolicy,Human Rights Policy,"Does the company have a policy for the exclusion of child, forced or compulsory labour, or to guarantee the freedom of association universally applied independent of local laws?",1,1,4,2,Y/N,Positive,,6,11,3,N,N,N
162,Agrochemical5PercentRevenue,Agrochemical 5 % Revenue,"Are the revenues generated by the company from agrochemicals like pesticides, fungicides, or herbicides 5% or more of company sales? - this is sector specific data measure for chemical companies producing agrochemicals like insecticides, pesticides, herbicides, and fungicides which are specifically produced for agricultural purposes - agrochemical revenue 5% or more of company sales - agrochemical revenue/total revenue*100 ('true' if agrochemical revenue is >5%, answer 'false' if it is less - modern synthetic fertilizers which are composed mainly of nitrogen, phosphorous, and potassium compounds with secondary nutrients added are also in scope",1,2,1,1,Y/N,Negative,,4,9,,N,N,Y
163,AgrochemicalProducts,Agrochemical Products,"Does the company produce or distribute agrochemicals like pesticides, fungicides or herbicides? - this is sector specific data measure for chemical companies producing agrochemicals like insecticides, pesticides, herbicides and fungicides which are specifically produced for agricultural purposes - modern synthetic fertilizers which are composed mainly of nitrogen, phosphorous, and potassium compounds with secondary nutrients added are also in scope",1,2,1,1,Y/N,Negative,TRESG,4,9,,Y,N,Y
164,AnimalTesting,Animal Testing,"Is the company directly or indirectly involved in animal testing? - applicable to pharmaceutical, healthcare sector, cosmetics - in scope are the data on cases where the company is testing its products on animals or if it is sourcing raw materials which are tested on animals - if a company claims to be gradually reducing or replacing the number of animal tests we consider the data positively and grade it as true - if company claims to perform animal tests solely in cases where this is required by law it is concluded as true",1,2,1,1,Y/N,Negative,,4,9,,N,N,Y
165,AnimalTestingCosmetics,Animal Testing Cosmetics,Is the company directly or indirectly involved in animal testing for cosmetics? - relevant for the non-cyclical consumer goods & service sector - conduct animal testing for cosmetics when mandated by law is considered positively as true - in scope are the data on cases where the company is testing cosmetics on animals or if it is sourcing raw materials which are tested on animals,1,2,1,1,Y/N,Negative,,4,9,,N,N,Y
166,AnimalTestingReduction,Animal Testing Reduction,"Has the company established a program or an initiative to reduce, phase out or substitute for animal testing? - initiatives by the company to reduce, phase out or substitute animal testing, 3Rs (refine, reduce, replace)  - relevant to pharmaceutical, chemical, cosmetic and food producing companies - if the company mentions about using alternatives to animal testing then we conclude it as reduction initiative",1,2,1,1,Y/N,Positive,,4,9,,N,N,Y
167,EcoDesignProducts,Eco-Design Products,"Does the company report on specific products which are designed for reuse, recycling or the reduction of environmental impacts? - products that have been specifically designed with the goal of being recycled, reused or which are disposed of without negatively impacting the environment - there must be some discussion of environmental concerns during the product design",1,2,1,1,Y/N,Positive,,4,9,,N,Y,Y
168,EnvironmentalAssetsUnderManagement,Environmental Assets Under Mgt,Does the company report on assets under management which employ environmental screening criteria or environmental factors in the investment selection process?,1,2,1,1,Y/N,Positive,TRESG,4,9,2,Y,N,Y
169,EnvironmentalProducts,Environmental Products,"Does the company report on at least one product line or service that is designed to have positive effects on the environment or which is environmentally labeled and marketed? - in focus are the products and services that have positive environmental effects, or marketed as which solve environment problems",1,2,1,1,Y/N,Positive,TRESG,4,9,2,Y,Y,Y
170,EnvironmentalProjectFinancing,Environmental Project Financing,Does the company claim to evaluate projects on the basis of environmental or biodiversity risks as well? - relevant to the financial sector and focus is on project financing data - evaluating projects based on environmental and biodiversity risks prior to providing funding to its customers,1,2,1,1,Y/N,Positive,,4,9,2,N,N,Y
171,EnvironmentalRAndDExpenditures,Environmental R&D Expenditures,Total amount of environmental R&D costs (without clean up and remediation costs). - in focus are the data on research & development costs for development of products and services focusing on improving the environmental impact reduction and innovation,5,2,1,1,Currency = Local Reporting Currency,Positive,,4,9,,N,Y,Y
173,ESGAssetsUnderManagement,ESG Assets Under Management,"Total amount of Assets Under Management (AUM) according to an ESG criteria or ESG investment strategy as reported by the company. -ESG investments in amount made by the Assets Management Company. -investments on SRI (Socially Responsible Investment) and ethical funds can be considered. -investments on environmental assets can be considered Ex: -renewable, wind, solar etc. -relevant to Assets Management Companies.",5,2,1,1,Currency = Local Reporting Currency,Positive,,4,9,,N,Y,Y
174,ESGFleetCO2Emissions,Fleet CO2 Emissions,Total fleet's average CO2 and CO2 equivalent emissions in g/km. - relevant to the automobile sector - we follow green house gas (GHG) protocol for all our emission classifications by type,3,2,1,1,g/km,Negative,TRESG,4,9,,Y,Y,Y
175,FleetFuelConsumption,Fleet Fuel Consumption,Total fleet's average fuel consumption in l/100km. - relevant to the automobile sector,3,2,1,1,l/100km,Negative,TRESG,4,9,,Y,Y,Y
176,FossilFuelDivestmentPolicy,Fossil Fuel Divestment Policy,Does the financial company have a public commitment to divest from fossil fuel?,1,2,1,1,Y/N,Positive,TRESG,4,9,2,Y,N,Y
177,GmoProducts,GMO Products,"Does the company produce or distribute genetically modified organisms (GMO) or seeds? - relevant to agriculture, food products, consumer products, non-cyclical consumer goods & services sector  - production of genetically modified seeds, data on green biotech or bio-engineering related information - some examples on agricultural GMO produce are Bt cotton, Bt brinjal",1,2,1,1,Y/N,Negative,,4,9,,N,N,Y
178,HybridVehicles,Hybrid Vehicles,Is the company developing hybrid vehicles?,1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
179,LabeledWood,Labeled Wood,"Does the company claim to produce, source or distribute wood or forest products that are labeled (e.g., Forest Stewardship Council (FSC))? - relevant to paper industries, publishing companies, wood producers - produces or distributes products that are certified sustainable forest products",1,2,1,1,Y/N,Positive,,4,9,,N,N,Y
180,LabeledWoodPercentage,Labeled Wood Percentage,"The percentage of labeled wood or forest products (e.g., Forest Stewardship Council (FSC)) from total wood or forest products. - percentage = labeled or certified wood/ total wood procured *100 - relevant to publishing companies - produces or distributes products that are certified sustainable forest products",3,2,1,1,Percentage,Positive,TRESG,4,9,,Y,Y,Y
181,NoiseReduction,Noise Reduction,Does the company develop new products that are marketed as reducing noise emissions? - products that have been specifically designed to reduce noise emissions or marketed as emitting less noise - in scope include also those companies which are retailing such products which are emitting less noise,1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
182,Nuclear,Nuclear,"Does the company construct nuclear reactors, produce nuclear energy or is active in another way in the nuclear energy industry? - relevant to the utilities and industrial sector - data on a company holding a stake in any particular company involved in nuclear - in scope are the companies involved in the consulting or planning or construction of nuclear facilities or nuclear reactors, extraction/use of uranium or nuclear mining",1,2,1,1,Y/N,Negative,,4,9,,N,N,Y
183,NuclearProduction,Nuclear Production,Percentage of total energy production from nuclear energy. - relevant to companies involved in the generation of electricity - nuclear production=energy produced from nuclear/total energy *100,3,2,1,1,Percentage,Negative,TRESG,4,9,,Y,Y,Y
184,OrganicProductsInitiatives,Organic Products Initiatives,"Does the company report or show initiatives to produce or promote organic food or other products? - relevant for companies in food industries, agricultural produce, and chemicals (organic fertilizers), textile & apparels (which use  biodegradable materials including organic fibers) - in scope data also include on the companies that are involved in promoting organic food in their retail chain",1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
185,PercentageOfGreenProducts,Percentage of Green Products,"Percentage of green products or services as reported by the company. -green bonds, green loans, responsible environmental investing can be considered for financial sector. -for utility companies, percentage of energy generated from renewable technologies (like solar, wind, etc.) can be considered. -when company reports number of green products, then calculate using total products produced in a year. -percentage of green products= total green products/total products*100",3,2,1,1,Percentage,Positive,,4,9,1,N,Y,Y
186,ProductEnvironmentalResponsibleUse,Product Environmental Responsible Use,"Does the company report about product features and applications or services that will promote responsible, efficient, cost-effective and environmentally preferable use? - a product or service that reduces the negative impact (less emission, pollution, noise, etc.) on the environment",1,2,1,1,Y/N,Positive,,4,9,,N,N,Y
187,ProductsRecoveredToRecycle,Products Recovered to Recycle,Total weight of end of life products recovered as take back initiative to recycle or refurbish in tonnes. -data is related to company's product manufactured or retailed -waste management company collecting various products and recycling is not in the scope -product recall by the companies due to defects is not considered,3,2,1,1,Tonnes,Positive,,4,9,,N,Y,Y
188,RealEstateSustainabilityCertifications,Real Estate Sustainability Certifications,"Does the company claim to lease, rent or market buildings that are certified by BREEAM, LEED or any other nationally recognized real estate certification? - applies to construction, hospitality and real estate companies only - pre-certification are also qualified positively  - BREEAM (building research establishment environmental assessment method) - LEED (leadership in energy and environmental design) - the certified green building no matter the level of certification are qualified",1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
189,RenewableCleanEnergyProducts,Renewable/Clean Energy Products,"Does the company develop products or technologies for use in the clean, renewable energy (such as wind, solar, hydro and geo-thermal and biomass power)? - in scope, we also include data on the financing of renewable energy projects - if a utility company is deriving at least 25% of the power produced or revenue from clean technologies or energy",1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
190,RevenueFromEnvironmentalProducts,Revenue from Environmental Products,Percentage of revenue from environmental products and services offered by the company.,3,2,1,1,Percentage,Positive,TRESG,4,9,,Y,Y,Y
191,SustainableBuildingProducts,Sustainable Building Products,Does the company develop products and services that improve the energy efficiency of buildings? - in focus are products and services that the company offer to improve the energy efficiency of buildings - also on companies that provide smart metering services to improve the energy efficiency of buildings,1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
192,TakebackAndRecyclingInitiatives,Take-back and Recycling Initiatives,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment? - take back or recycle the company's own product at the end of use  - waste management company collecting various products and recycling is not in the scope - a product recall is not considered as qualified data,1,2,1,1,Y/N,Positive,,4,9,,N,N,Y
193,WaterTechnologies,Water Technologies,"Does the company develop products or technologies that are used for water treatment, purification or that improve water use efficiency? - in scope are the products or services addressing water purification or greater water conservation or efficiency - also includes companies providing technologies/software to detect water leaks",1,2,1,1,Y/N,Positive,TRESG,4,9,,Y,N,Y
194,EnvironmentalRAndDExpendituresToRevenues,Env R&D Expenditures To Revenues in million,Total amount of environmental R&D costs (without clean up and remediation costs) divided by net sales or revenue in million.,3,2,2,2,(Local Reporting Currency/ Local Revenue) * 1000000,Positive,TRESG,4,9,,Y,N,N
195,EquatorPrinciplesOrEnvironmentalProjectFinancing,Equator Principles or Env Project Financing,Is the company a signatory of the Equator Principles (commitment to manage environmental issues in project financing) or does it claim to evaluate projects on the basis of environmental or biodiversity risks as well?,1,2,2,2,Y/N,Positive,TRESG,4,9,2,Y,N,N
196,ProductImpactMinimization,Product Impact Minimization,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment or does the company report about product features or services that will promote responsible and environmentally preferable use?,1,2,2,2,Y/N,Positive,TRESG,4,9,,Y,N,N
197,RenewableEnergySupply,Renewable Energy Supply,Total energy distributed or produced from renewable energy sources divided by the total energy distributed or produced.,3,2,2,2,Ratio,Positive,TRESG,4,9,,Y,N,N
198,AsianMinoritiesBoardPercent,Asian - Ethnic Minorities Board Percentage,Percentage of board members for U.S. operations who are Asian,3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
199,AuditBoardCommittee,Audit Board Committee,Does the company have an audit board committee?,1,4,5,1,Y/N,Positive,,5,14,,N,N,Y
200,AuditCommitteeNonExecutiveMembers,Audit Committee NonExecutive Members,Percentage of non-executive board members on the audit committee as stipulated by the company. - number of nonexecutive directors among all the board audit committee members(percentage),3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
201,BlackOrAfricanAmericanMinoritiesBoardPercent,Black or African American - Ethnic Minorities Board Percentage,Percentage of board members for U.S. operations who are Black or African American,3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
202,BoardMeetingAttendanceAverage,Board Meeting Attendance Average,"The average overall attendance percentage of board meetings as reported by the company. - overall board members conduct regular meetings during the year, board meeting average is the attendance average provided details of members attended versus the total number of board meetings held",3,4,5,1,Percentage,Positive,TRESG,5,14,,Y,Y,Y
203,BoardMemberLongTermCompensationIncentives,Board Member LT Compensation Incentives,The maximum time horizon of the board member's targets to reach full compensation.,3,4,5,1,Years,Positive,,5,14,,N,Y,Y
204,BoardMemberMembershipLimits,Board Member Membership Limits,"The maximum number of years a board member can be on the board as stipulated by the company. - 1 to 30 years /insufficient information/no limit - when the company has explicitly mentioned that board members will be on board only for a certain maximum number of years - when the maximum term is different for a different class of directors, use the one given for the independent/nonexecutive directors - if there is a law provision that says that directors have to retire after a number of years, then answer as per the provision",3,4,5,1,Years/No Limit,Negative,,5,14,,N,Y,Y
205,BoardMemberTermDuration,Board Member Term Duration,"The smallest interval of years in which the board members are subject to re-election. - the smallest interval of years of board members re-election  - annual re-election for board members who have served for a long-time is accepted as ""1"" year  - if data mentions about one-third of board members who must retire at the AGM, then it is 3 years",3,4,5,1,Years,Positive,,5,14,,N,Y,Y
206,BoardSize,Board Size,The total number of board members at the end of the fiscal year.,4,4,5,1,Number,Positive,,5,14,,N,Y,Y
207,BoardStructureType,Board Structure Type,"The company has a unitary board structure, a classical two-tier board structure with a supervisory board or a mixed two-tiered board structure with a board of directors and a supervisory board. - unitary board structure (executive director on board)  - classical two-tier board structure ( two separate board i.e. supervisory board and executive board) - mixed board (executive, supervisory board, employee representatives, shareholder representatives, external auditors)",6,4,5,1,Unitary/Two-tier/Mixed,Not applicable,,5,14,,N,Y,Y
208,CeoBoardMember,CEO Board Member,The CEO is a board member.,1,4,5,1,Y/N,Negative,,5,14,,N,N,Y
209,CeoCompensationLinkToTsr,CEO Compensation Link to TSR,Is the CEO's compensation linked to total shareholder return (TSR)?,1,4,5,1,Y/N,Positive,TRESG,5,14,,Y,N,Y
210,ChairmanIsExCeo,Chairman is ex-CEO,Has the chairman held the CEO position in the company prior to becoming the chairman? - true: when Chairman was CEO in previous years - false: when the chairman was never the CEO of the company - false: when the chairman is currently the CEO,1,4,5,1,Y/N,Negative,,5,14,,N,N,Y
211,ChiefDiversityOfficer,Chief Diversity Officer,Does the company have a chief diversity officer who is a member of the executive committee?,1,4,5,1,Y/N,Positive,,5,14,,N,N,Y
212,CommitteeMeetingsAttendanceAverage,Committee Meetings Attendance Average,"The average overall attendance percentage of board committee meetings as reported by the company. - various committees formed by the board, conduct regular meetings during the year, committee meeting average is the attendance average provided details of members attended versus the total number of meetings held",3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
213,CompensationBoardCommittee,Compensation Board Committee,Does the company have a compensation board committee?,1,4,5,1,Y/N,Positive,,5,14,,N,N,Y
214,CompensationCommitteeNonExecutiveMembers,Compensation Committee NonExecutive Members,Percentage of non-executive board members on the compensation committee as stipulated by the company. - number of nonexecutive directors among all the compensation or remuneration committee members in percentage representation,3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
215,CompensationImprovementTools,Compensation Improvement Tools,"Does the company have the necessary internal improvement and information tools for the board members to develop appropriate compensation/remuneration to attract and retain key executives? - external consultant/advisors/legal counsel hired for determining compensation for the executives  - compensation related reports, surveys or statistics received from a third party  - compensation or remuneration committee or similar committees hiring an advisor to assist in performing its duty in fixing executive remuneration",1,4,5,1,Y/N,Positive,TRESG,5,14,,Y,N,Y
216,CorporateGovernanceBoardCommittee,Corporate Governance Board Committee,Does the company have a corporate governance board committee?,1,4,5,1,Y/N,Positive,,5,14,,N,N,Y
217,ExternalConsultants,External Consultants,Do the board or board committees have the authority to hire external advisers or consultants without management's approval?,1,4,5,1,Y/N,Positive,TRESG,5,14,,Y,N,Y
218,HispanicOrLatinoMinoritiesBoardPercent,Hispanic or Latino - Ethnic Minorities Board Percentage,Percentage of board members for U.S. operations who are Hispanic or Latino,3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
219,InternalAuditDepartmentReporting,Internal Audit Department Reporting,"Does the internal audit department report to the audit committee of the board? - if the internal audit department report to the audit committee - if the audit committees responsibility includes overseeing the Internal audit department (controlling its work, approving its reports and dismissing its head) - check the organization chart and if it shows a direct reporting of the Internal audit department to the audit committee  - if the Internal audit department if directly reports to the CEO or any executive management then False",1,4,5,1,Y/N,Positive,TRESG,5,14,,Y,N,Y
220,ManagementCompensationControversiesCount,Mgt Compensation Controversies Count,Number of controversies published in the media linked to high executive or board compensation. - lawsuits against company filed by board members - lawsuits filed where compensation is paid unjustifiable - any wrong statements on management compensation by the company,4,4,5,1,Number,Negative,TRESGC,5,14,,N,Y,Y
221,MinoritiesBoardPercent,Ethnic Minorities Board Percentage,Percentage of board members classified under racial/ethnicity minority groups.,3,4,5,1,Percentage,Positive,,5,14,,N,Y,Y
222,NominationBoardCommittee,Nomination Board Committee,Does the company have a nomination board committee?,1,4,5,1,Y/N,Positive,,5,14,,N,N,Y
223,NominationCommitteeNonExecutiveMembers,Nomination Committee NonExecutive Members,Percentage of non-executive board members on the nomination committee as stipulated by the company. - number of nonexecutive directors among all the nomination committee members in percentage representation,3,4,5,1,Percentage,Positive,,5,14,,N,N,Y
224,NumberOfBoardMeetings,Number of Board Meetings,The number of board meetings during the year.,4,4,5,1,Number,Positive,,5,14,,N,Y,Y
