type_,code,desc_
1,311822,
1,311823,
1,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
1,311911,Roasted Nuts and Peanut Butter Manufacturing
1,311919,Other Snack Food Manufacturing
1,311920,Coffee and Tea Manufacturing
1,311930,Flavoring Syrup and Concentrate Manufacturing
1,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
1,311942,Spice and Extract Manufacturing
1,311991,Perishable Prepared Food Manufacturing
1,311999,All Other Miscellaneous Food Manufacturing
1,312111,Soft Drink Manufacturing
1,312112,Bottled Water Manufacturing
1,312120,Breweries
1,312130,Wineries
1,312140,Distilleries
1,312210,
1,312221,
1,312229,
1,312230,Tobacco Manufacturing
1,313110,"Fiber, Yarn, and Thread Mills"
1,313111,
1,313112,
1,313113,
1,313210,Broadwoven Fabric Mills
1,313220,Narrow Fabric Mills and Schiffli Machine Embroidery
1,313221,
1,313230,Nonwoven Fabric Mills
1,313240,Knit Fabric Mills
1,313310,Textile and Fabric Finishing Mills
1,313311,
1,313320,Fabric Coating Mills
1,314110,Carpet and Rug Mills
1,314120,Curtain and Linen Mills
1,314121,
1,314129,
1,314910,Textile Bag and Canvas Mills
1,314991,
1,314992,
1,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
1,314999,All Other Miscellaneous Textile Product Mills
1,315191,
1,315192,
1,315210,Cut and Sew Apparel Contractors
1,315211,
1,315212,
1,315221,
1,315222,
1,315223,
1,315224,
1,315225,
1,315228,
1,315231,
1,315232,
1,315233,
1,315234,
1,315239,
1,315291,
1,315299,
1,722310,Food Service Contractors
1,315990,Apparel Accessories and Other Apparel Manufacturing
1,315992,
1,315999,
1,316110,Leather and Hide Tanning and Finishing
1,316210,Footwear Manufacturing
1,316211,
1,316212,
1,316213,
1,316214,
1,316219,
1,316991,
1,316992,Women's Handbag and Purse Manufacturing
1,316999,
1,321113,Sawmills
1,321114,Wood Preservation
1,321211,Hardwood Veneer and Plywood Manufacturing
1,321212,Softwood Veneer and Plywood Manufacturing
1,321214,Truss Manufacturing
1,321219,Reconstituted Wood Product Manufacturing
1,321911,Wood Window and Door Manufacturing
1,321918,Other Millwork (including Flooring)
1,321920,Wood Container and Pallet Manufacturing
1,321991,Manufactured Home (Mobile Home) Manufacturing
1,321992,Prefabricated Wood Building Manufacturing
1,321999,All Other Miscellaneous Wood Product Manufacturing
1,322110,Pulp Mills
1,322121,Paper (except Newsprint) Mills
1,322122,Newsprint Mills
1,322130,Paperboard Mills
1,322211,Corrugated and Solid Fiber Box Manufacturing
1,322212,Folding Paperboard Box Manufacturing
1,322214,
1,322215,
1,322219,Other Paperboard Container Manufacturing
1,322220,Paper Bag and Coated and Treated Paper Manufacturing
1,322221,
1,322222,
1,322223,
1,322225,
1,322230,Stationery Product Manufacturing
1,322232,
1,322291,Sanitary Paper Product Manufacturing
1,322299,All Other Converted Paper Product Manufacturing
1,323110,
1,323111,Commercial Printing (except Screen and Books)
1,323113,Commercial Screen Printing
1,323115,
1,323116,
1,323117,Books Printing
1,323118,
1,323119,
1,323120,Support Activities for Printing
1,323122,
1,324110,Petroleum Refineries
1,324121,Asphalt Paving Mixture and Block Manufacturing
1,324122,Asphalt Shingle and Coating Materials Manufacturing
1,324191,Petroleum Lubricating Oil and Grease Manufacturing
1,324199,All Other Petroleum and Coal Products Manufacturing
1,325110,Petrochemical Manufacturing
1,325120,Industrial Gas Manufacturing
1,325130,Synthetic Dye and Pigment Manufacturing
1,325131,
1,325132,
1,325180,Other Basic Inorganic Chemical Manufacturing
1,325181,
1,325182,
1,325188,
1,325191,
1,325192,
1,325193,Ethyl Alcohol Manufacturing
1,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
1,325199,All Other Basic Organic Chemical Manufacturing
1,325211,Plastics Material and Resin Manufacturing
1,325212,Synthetic Rubber Manufacturing
1,325220,Artificial and Synthetic Fibers and Filaments Manufacturing
1,325221,
1,325222,
1,325311,Nitrogenous Fertilizer Manufacturing
1,325312,Phosphatic Fertilizer Manufacturing
1,325314,Fertilizer (Mixing Only) Manufacturing
1,325320,Pesticide and Other Agricultural Chemical Manufacturing
1,325411,Medicinal and Botanical Manufacturing
1,325412,Pharmaceutical Preparation Manufacturing
1,325413,In-Vitro Diagnostic Substance Manufacturing
1,325414,Biological Product (except Diagnostic) Manufacturing
1,325510,Paint and Coating Manufacturing
1,325520,Adhesive Manufacturing
1,325611,Soap and Other Detergent Manufacturing
1,325612,Polish and Other Sanitation Good Manufacturing
1,325613,Surface Active Agent Manufacturing
1,325620,Toilet Preparation Manufacturing
1,325910,Printing Ink Manufacturing
1,325920,Explosives Manufacturing
1,325991,Custom Compounding of Purchased Resins
1,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
1,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
1,326111,Plastics Bag and Pouch Manufacturing
1,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
1,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
1,326121,Unlaminated Plastics Profile Shape Manufacturing
1,326122,Plastics Pipe and Pipe Fitting Manufacturing
1,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
1,326140,Polystyrene Foam Product Manufacturing
1,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
1,326160,Plastics Bottle Manufacturing
1,326191,Plastics Plumbing Fixture Manufacturing
1,326192,
1,326199,All Other Plastics Product Manufacturing
1,326211,Tire Manufacturing (except Retreading)
1,326212,Tire Retreading
1,326220,Rubber and Plastics Hoses and Belting Manufacturing
1,326291,Rubber Product Manufacturing for Mechanical Use
1,722320,Caterers
1,326299,All Other Rubber Product Manufacturing
1,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
1,327111,
1,327112,
1,327113,
1,327120,Clay Building Material and Refractories Manufacturing
1,327121,
1,327122,
1,327123,
1,327124,
1,327125,
1,327211,Flat Glass Manufacturing
1,327212,Other Pressed and Blown Glass and Glassware Manufacturing
1,327213,Glass Container Manufacturing
1,327215,Glass Product Manufacturing Made of Purchased Glass
1,327310,Cement Manufacturing
1,327320,Ready-Mix Concrete Manufacturing
1,327331,Concrete Block and Brick Manufacturing
1,327332,Concrete Pipe Manufacturing
1,327390,Other Concrete Product Manufacturing
1,327410,Lime Manufacturing
1,327420,Gypsum Product Manufacturing
1,327910,Abrasive Product Manufacturing
1,327991,Cut Stone and Stone Product Manufacturing
1,327992,Ground or Treated Mineral and Earth Manufacturing
1,327993,Mineral Wool Manufacturing
1,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
1,331110,Iron and Steel Mills and Ferroalloy Manufacturing
1,331111,
1,331112,
1,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
1,331221,Rolled Steel Shape Manufacturing
1,331222,Steel Wire Drawing
1,331311,
1,331312,
1,331313,Alumina Refining and Primary Aluminum Production
1,331314,Secondary Smelting and Alloying of Aluminum
1,331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
1,331316,
1,331318,"Other Aluminum Rolling, Drawing, and Extruding"
1,331319,
1,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
1,331411,
1,331419,
1,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
1,331421,
1,331422,
1,331423,
1,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
1,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
1,331511,Iron Foundries
1,331512,Steel Investment Foundries
1,331513,Steel Foundries (except Investment)
1,331523,Nonferrous Metal Die-Casting Foundries
1,331524,Aluminum Foundries (except Die-Casting)
1,331525,
1,331528,
1,331529,Other Nonferrous Metal Foundries (except Die-Casting)
1,332111,Iron and Steel Forging
1,332112,Nonferrous Forging
1,332115,
1,332116,
1,332117,Powder Metallurgy Part Manufacturing
1,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
1,332211,
1,332212,
1,332213,
1,332214,
1,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
1,332216,Saw Blade and Handtool Manufacturing
1,332311,Prefabricated Metal Building and Component Manufacturing
1,332312,Fabricated Structural Metal Manufacturing
1,332313,Plate Work Manufacturing
1,332321,Metal Window and Door Manufacturing
1,332322,Sheet Metal Work Manufacturing
1,332323,Ornamental and Architectural Metal Work Manufacturing
1,332410,Power Boiler and Heat Exchanger Manufacturing
1,332420,Metal Tank (Heavy Gauge) Manufacturing
1,332431,Metal Can Manufacturing
1,332439,Other Metal Container Manufacturing
1,332510,Hardware Manufacturing
1,332611,
1,332612,
1,332613,Spring Manufacturing
1,332618,Other Fabricated Wire Product Manufacturing
1,332710,Machine Shops
1,332721,Precision Turned Product Manufacturing
1,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
1,332811,Metal Heat Treating
1,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
1,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
1,332911,Industrial Valve Manufacturing
1,332912,Fluid Power Valve and Hose Fitting Manufacturing
1,332913,Plumbing Fixture Fitting and Trim Manufacturing
1,332919,Other Metal Valve and Pipe Fitting Manufacturing
1,332991,Ball and Roller Bearing Manufacturing
1,332992,Small Arms Ammunition Manufacturing
1,332993,Ammunition (except Small Arms) Manufacturing
1,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
1,332995,
1,332996,Fabricated Pipe and Pipe Fitting Manufacturing
1,332998,
1,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
1,333111,Farm Machinery and Equipment Manufacturing
1,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
1,333120,Construction Machinery Manufacturing
1,333131,Mining Machinery and Equipment Manufacturing
1,333132,Oil and Gas Field Machinery and Equipment Manufacturing
1,333210,
1,333220,
1,333241,Food Product Machinery Manufacturing
1,333242,Semiconductor Machinery Manufacturing
1,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
1,333291,
1,333292,
1,333293,
1,333294,
1,333295,
1,333298,
1,333311,
1,333313,
1,333314,Optical Instrument and Lens Manufacturing
1,333315,
1,333319,
1,333411,
1,333412,
1,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
1,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
1,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
1,333511,Industrial Mold Manufacturing
1,333512,
1,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
1,333515,Cutting Tool and Machine Tool Accessory Manufacturing
1,333516,
1,333517,Machine Tool Manufacturing
1,333518,
1,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
1,333611,Turbine and Turbine Generator Set Units Manufacturing
1,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
1,333613,Mechanical Power Transmission Equipment Manufacturing
1,333618,Other Engine Equipment Manufacturing
1,333911,
1,333912,Air and Gas Compressor Manufacturing
1,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
1,333921,Elevator and Moving Stairway Manufacturing
1,333922,Conveyor and Conveying Equipment Manufacturing
1,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
1,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
1,333991,Power-Driven Handtool Manufacturing
1,333992,Welding and Soldering Equipment Manufacturing
1,333993,Packaging Machinery Manufacturing
1,333994,Industrial Process Furnace and Oven Manufacturing
1,333995,Fluid Power Cylinder and Actuator Manufacturing
1,333996,Fluid Power Pump and Motor Manufacturing
1,333997,Scale and Balance Manufacturing
1,333999,All Other Miscellaneous General Purpose Machinery Manufacturing
1,334111,Electronic Computer Manufacturing
1,334112,Computer Storage Device Manufacturing
1,334113,
1,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
1,334119,
1,334210,Telephone Apparatus Manufacturing
1,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
1,334290,Other Communications Equipment Manufacturing
1,334310,Audio and Video Equipment Manufacturing
1,334411,
1,334412,Bare Printed Circuit Board Manufacturing
1,334413,Semiconductor and Related Device Manufacturing
1,334414,
1,334415,
1,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
1,334417,Electronic Connector Manufacturing
1,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
1,334419,Other Electronic Component Manufacturing
1,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
1,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
1,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
1,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
1,334514,Totalizing Fluid Meter and Counting Device Manufacturing
1,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
1,334516,Analytical Laboratory Instrument Manufacturing
1,334517,Irradiation Apparatus Manufacturing
1,334518,
1,334519,Other Measuring and Controlling Device Manufacturing
1,334611,
1,335110,Electric Lamp Bulb and Part Manufacturing
1,335121,Residential Electric Lighting Fixture Manufacturing
1,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
1,335129,Other Lighting Equipment Manufacturing
1,335210,Small Electrical Appliance Manufacturing
1,335211,
1,335212,
1,335220,Major Household Appliance Manufacturing
1,335221,
1,335222,
1,335224,
1,335228,
1,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
1,335312,Motor and Generator Manufacturing
1,335313,Switchgear and Switchboard Apparatus Manufacturing
1,335314,Relay and Industrial Control Manufacturing
1,335911,Storage Battery Manufacturing
1,335912,Primary Battery Manufacturing
1,335921,Fiber Optic Cable Manufacturing
1,335929,Other Communication and Energy Wire Manufacturing
1,335931,Current-Carrying Wiring Device Manufacturing
1,335932,Noncurrent-Carrying Wiring Device Manufacturing
1,335991,Carbon and Graphite Product Manufacturing
1,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
1,336111,Automobile Manufacturing
1,336112,Light Truck and Utility Vehicle Manufacturing
1,336120,Heavy Duty Truck Manufacturing
1,336211,Motor Vehicle Body Manufacturing
1,336212,Truck Trailer Manufacturing
1,336213,Motor Home Manufacturing
1,336214,Travel Trailer and Camper Manufacturing
1,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
1,336311,
1,336312,
1,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
1,336321,
1,336322,
1,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
1,336340,Motor Vehicle Brake System Manufacturing
1,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
1,336360,Motor Vehicle Seating and Interior Trim Manufacturing
1,336370,Motor Vehicle Metal Stamping
1,336390,Other Motor Vehicle Parts Manufacturing
1,336391,
1,336399,
1,336411,Aircraft Manufacturing
1,336412,Aircraft Engine and Engine Parts Manufacturing
1,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
1,336414,Guided Missile and Space Vehicle Manufacturing
1,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
1,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
1,336510,Railroad Rolling Stock Manufacturing
1,336611,Ship Building and Repairing
1,336612,Boat Building
1,336991,"Motorcycle, Bicycle, and Parts Manufacturing"
1,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
1,336999,All Other Transportation Equipment Manufacturing
1,337110,Wood Kitchen Cabinet and Countertop Manufacturing
1,337121,Upholstered Household Furniture Manufacturing
1,337122,Nonupholstered Wood Household Furniture Manufacturing
1,337125,Household Furniture (except Wood and Metal) Manufacturing
1,337127,Institutional Furniture Manufacturing
1,337211,Wood Office Furniture Manufacturing
1,337214,Office Furniture (except Wood) Manufacturing
1,337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
1,337910,Mattress Manufacturing
1,337920,Blind and Shade Manufacturing
1,339112,Surgical and Medical Instrument Manufacturing
1,339113,Surgical Appliance and Supplies Manufacturing
1,339114,Dental Equipment and Supplies Manufacturing
1,339115,Ophthalmic Goods Manufacturing
1,339116,Dental Laboratories
1,339910,Jewelry and Silverware Manufacturing
1,339911,
1,339913,
1,339914,
1,339920,Sporting and Athletic Goods Manufacturing
1,339930,"Doll, Toy, and Game Manufacturing"
1,339931,
1,339932,
1,339940,Office Supplies (except Paper) Manufacturing
1,339941,
1,339942,
1,339950,Sign Manufacturing
1,339991,"Gasket, Packing, and Sealing Device Manufacturing"
1,339992,Musical Instrument Manufacturing
1,339993,"Fastener, Button, Needle, and Pin Manufacturing"
1,339994,"Broom, Brush, and Mop Manufacturing"
1,339995,Burial Casket Manufacturing
1,339999,All Other Miscellaneous Manufacturing
1,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
1,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
1,423130,Tire and Tube Merchant Wholesalers
1,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
1,423210,Furniture Merchant Wholesalers
1,423220,Home Furnishing Merchant Wholesalers
1,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
1,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
1,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
1,423390,Other Construction Material Merchant Wholesalers
1,423410,Photographic Equipment and Supplies Merchant Wholesalers
1,423420,Office Equipment Merchant Wholesalers
1,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
1,423440,Other Commercial Equipment Merchant Wholesalers
1,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
1,423460,Ophthalmic Goods Merchant Wholesalers
1,423490,Other Professional Equipment and Supplies Merchant Wholesalers
1,423510,Metal Service Centers and Other Metal Merchant Wholesalers
1,423520,Coal and Other Mineral and Ore Merchant Wholesalers
1,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
1,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
1,423690,Other Electronic Parts and Equipment Merchant Wholesalers
1,423710,Hardware Merchant Wholesalers
1,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
