type_,code,desc_
8,1000338356,energy yield for one cubic meter of light fuel oil; equivalent to ~38.8 gigajoules
8,1000338357,energy yield for one cubic meter of heavy fuel oil; equivalent to ~41.7 gigajoules
8,1000338358,energy yield for one cubic meter of petroleum coke; equivalent to ~46.5 gigajoules
8,1000338359,energy yield for one pound of steam; equivalent to ~1.1 megajoules
8,1000338360,energy yield for one US gallon of kerosene; equivalent to ~142.2 megajoules
8,1000338364,energy yield of one petawatt hour; equivalent to ~3.6 exajoules
8,1000338367,energy yield for one liter of kerosene expressed in Lower (net) Heating Value (LHV); equivalent to ~
8,1000339074,energy yield for one ton (US) of TNT; equivalent to 4.184 gigajoules
8,1000339076,energy yield for one ton (US) of lignite; equivalent to ~13.607 gigajoules
8,1000339077,approximate energy yield for one ton (US) of wood; equivalent to ~16.2 gigajoules
8,1000339078,energy yield for one ton (US) of biodiesel; equivalent to ~34.3 gigajoules
8,1000339079,energy yield for one ton (US) of uranium-235; equivalent to ~74 petajoules
8,1000339500,
8,1000339501,
8,1000339502,
8,1000339503,
8,1000339504,
8,1000339505,
8,1000339506,
8,1000339726,
8,1000339732,energy yield for one ton (US) of gasoline expressed in Lower (net) Heating Value (LHV); equivalent t
8,1000339733,energy yield for one ton (US) of gasoline expressed in High (gross) Heating Value (LHV); equivalent
8,1000339734,
8,1000339735,
8,1000346811,energy yield for one liter of kerosene expressed in Lower (net) Heating Value (LHV); equivalent to ~
8,1000348729,
8,1000348732,
8,1000348734,energy yield for one cubic meter of town gas; equivalent to ~41.1 megajoules
8,1000348735,energy yield for one cubic meter of methane; equivalent to ~29.1 gigajoules
8,1000348736,energy yield for one ton (US) of fuel oil; equivalent to ~40.2 gigajoules
8,1000348737,energy yield for one ton (US) of petroleum; equivalent to ~45.2 gigajoules
8,1000348738,energy yield for one ton (US) of propane; equivalent to ~46.9 gigajoules
8,1000351871,
8,1000351872,US Oil Barrels (42 US gal).
8,1000645125,Converts to the 40 hour work week
8,1001101705,Converts to the 8 hour work day
8,1001314834,
8,1001371055,
8,1001371056,
8,1002046981,= 1 000 000 000 000 000 joules
8,1002076157,energy yield for one pound of steam; equivalent to ~2.2 gigajoules
8,1002112188,energy yield of one tonne of coal coke; equivalent to approximately 28.83 gigajoules
8,1002114783,energy yield for one tonne of aviation gasoline; equivalent to ~48.3 gigajoules
8,1002114784,energy yield for one tonne of kerosene jet fuel; equivalent to ~45.8 gigajoules
8,1002114785,energy yield for one tonne of naphtha jet fuel; equivalent to ~45.6 gigajoules
8,1002114791,energy yield for one ton (US) of crude oil; equivalent to ~37.9 gigajoules
8,1002208059,
